ESTADO ;CIDADE;Letra;;
Bahia;Itajuípe;I;;
Bahia;Itamaraju;I;;
Bahia;Itamari;I;;
Bahia;Itambé;I;;
Bahia;Itanagra;I;;
Bahia;Itanhém;I;;
Bahia;Itaparica;I;;
Bahia;Itapé;I;;
Bahia;Itapebi;I;;
Bahia;Itapetinga;I;;
Bahia;Itapicuru;I;;
Bahia;Itapitanga;I;;
Bahia;Itaquara;I;;
Bahia;Itarantim;I;;
Bahia;Itatim;I;;
Bahia;Itiruçu;I;;
Bahia;Itiúba;I;;
Bahia;Itororó;I;;
Bahia;Ituaçu;I;;
Bahia;Ituberá;I;;
Bahia;Iuiú;I;;
Bahia;Jaborandi;J;;
Bahia;Jacaraci;J;;
Bahia;Jacobina;J;;
Bahia;Jaguaquara;J;;
Bahia;Jaguarari;J;;
Bahia;Jaguaripe;J;;
Bahia;Jandaíra;J;;
Bahia;Jequié;J;;
Bahia;Jeremoabo;J;;
Bahia;Jiquiriçá;J;;
Bahia;Jitaúna;J;;
Bahia;João Dourado;J;;
Bahia;Juazeiro;J;;
Bahia;Jucuruçu;J;;
Bahia;Jussara;J;;
Bahia;Jussari;J;;
Bahia;Jussiape;J;;
Bahia;Lafaiete Coutinho;L;;
Bahia;Lagoa Real;L;;
Bahia;Laje;L;;
Bahia;Lajedão;L;;
Bahia;Lajedinho;L;;
Bahia;Lajedo do Tabocal;L;;
Bahia;Lamarão;L;;
Bahia;Lapão;L;;
Bahia;Lauro de Freitas;L;;
Bahia;Lençóis;L;;
Bahia;Licínio de Almeida;L;;
Bahia;Livramento de Nossa Senhora;L;;
Bahia;Luís Eduardo Magalhães;L;;
Bahia;Macajuba;M;;
Bahia;Macarani;M;;
Bahia;Macaúbas;M;;
Bahia;Macururé;M;;
Bahia;Madre de Deus;M;;
Bahia;Maetinga;M;;
Bahia;Maiquinique;M;;
Bahia;Mairi;M;;
Bahia;Malhada de Pedras;M;;
Bahia;Malhada;M;;
Bahia;Manoel Vitorino;M;;
Bahia;Mansidão;M;;
Bahia;Maracás;M;;
Bahia;Maragogipe;M;;
Bahia;Maraú;M;;
Bahia;Marcionílio Souza;M;;
Bahia;Mascote;M;;
Bahia;Mata de São João;M;;
Bahia;Matina;M;;
Bahia;Medeiros Neto;M;;
Bahia;Miguel Calmon;M;;
Bahia;Milagres;M;;
Bahia;Mirangaba;M;;
Bahia;Mirante;M;;
Bahia;Monte Santo;M;;
Bahia;Morpará;M;;
Bahia;Morro do Chapéu;M;;
Bahia;Mortugaba;M;;
Bahia;Mucugê;M;;
Bahia;Mucuri;M;;
Bahia;Mulungu do Morro;M;;
Bahia;Mundo Novo;M;;
Bahia;Muniz Ferreira;M;;
Bahia;Muquém do São Francisco;M;;
Bahia;Muritiba;M;;
Bahia;Mutuípe;M;;
Bahia;Nazaré;N;;
Bahia;Nilo Peçanha;N;;
Bahia;Nordestina;N;;
Bahia;Nova Canaã;N;;
Bahia;Nova Fátima;N;;
Bahia;Nova Ibiá;N;;
Bahia;Nova Itarana;N;;
Bahia;Nova Redenção;N;;
Bahia;Nova Soure;N;;
Bahia;Nova Viçosa;N;;
Bahia;Novo Horizonte;N;;
Bahia;Novo Triunfo;N;;
Bahia;Olindina;O;;
Bahia;Oliveira dos Brejinhos;O;;
Bahia;Ouriçangas;O;;
Bahia;Ourolândia;O;;
Bahia;Palmas de Monte Alto;P;;
Bahia;Palmeiras;P;;
Bahia;Paramirim;P;;
Bahia;Paratinga;P;;
Bahia;Paripiranga;P;;
Bahia;Pau Brasil;P;;
Bahia;Paulo Afonso;P;;
Bahia;Pé de Serra;P;;
Bahia;Pedrão;P;;
Bahia;Pedro Alexandre;P;;
Bahia;Piatã;P;;
